,airline,author,date,content,cabin,overall
1226,lot-polish-airlines,M Sobolewski,2015-06-12,FRA-WAW-ODS. Two short hops on LOT on smaller jets.  Was run like a low cost airline: Just a cup of water and chocolate but the seats were comfortable and no IFE.  Staff are friendly. A food and beverage cart run down the aisle charging about 2 bucks for drinks and snacks and almost no one bought anything. I wonder if they flushed all the coffee down the toilet at the end of the flight?  I don't think the model is cost effective for Poland. Probably more coffee and tea wasted than paid for by customers.  Flights left and arrived on time.  Flights booked with mileage points so no idea as to value.  I needed a good connection between Frankfurt and Odessa and this was one of them.,Economy,7
1227,lot-polish-airlines,Edward Vayn,2015-07-27,"Flight WAW to ORD July 24. Food service was very rushed. Flight attendants poorly trained to cater to business class passengers in terms of attention to service requests. Very stingy with hard liquors, will only serve couple of drinks during dinner service and will purposly ignore any more request. Food average. You have to ask for everything, nothing is ever offered even water. Looks like saving on liquids including liquor and water was their main goal. Magnificent aircraft especially in business class too bad crew in business class is not properly trained.",Business,5
1228,united-airlines,Brian Fox,2015-07-22,"On Sunday, June 14th, my family and a close friend took a flight from Newark Airport which should have connected in Toronto to a flight to Dublin, Ireland. Unfortunately, because the Captain of the flight did not turn up for his passengers, the flight was delayed for approximately 3 hours. (United Airlines staff in Newark informed us that this was the reason why we were delayed.) This was not a weather-related incident. In any event, this delay caused us (and others, I believe) to miss the connection in Toronto. We were not rebooked to another flight. Instead I was told that all of United's flights that night and following day were ""oversold"". I asked if we could fly home and was told that that would take days as well. The customer service rep in Toronto was particularly nasty and actually slowed down the entire process by training a new employee while talking to us. It should be noted, that I was traveling with my 5 year old daughter who had not eaten for many hours and the slow processing and communications by this rep meant that nearly all of the shops and restaurants in the airport had closed down for the night. I asked if we could be put on another airline and was told that this was 'not allowed'. I also asked if we could get a flight somewhere near Dublin and was only offered a flight to Turkey or Frankfurt the next night. The rep did not offer hotel vouchers or food vouchers or any practical resolution, but only intentionally took her time scanning flights. The employee finally got us a flight to London the next night and rooms in the adjacent hotel. If we had not fought for hours, late at night, we would have been left to sleep in the chairs of the airport with my 5 year old daughter. While I am grateful that we finally were able to get on another flight - to London, then Dublin through British Airways - we missed 2 days of our trip. Coming home we had another ordeal with United. The return flight which was changed to a departure in Dublin to Washington D.C. and then, on to LaGuardia was actually worse. While turbulence cannot be helped, one of the flight attendants hit her head. This meant that paramedics had to care for the attendant first, which delayed our flight and caused us to miss our flight home. I had to rent a car to get home. I will never fly United again.",Economy,1
1229,american-airlines,Mark Baughman,2015-06-26,"American Airlines has improved for US domestic travel. I would say 90% of staff encounters I have are upbeat, courteous and professional.  I don't know how it's going to be after US Air is fully integrated, but for now I am happy with the new planes, mostly professional FA's, helpful gate agents. There's a tiny part of me that's tempted to try them on an overseas flight, but maybe that's a bridge too far.",First,10
1230,american-airlines,Matthew Toyoda,2015-06-12,"This is the 3rd time this year that I have flown with American Airline, I give this airline 1 star out of 5 stars. Number 1 reason is this airline has constant delays all across the board, every flight I have flown on has been late or delayed for the past 3 times this year. I will never fly with this airline again. I am extremely dissatisfied with the quality of service and the delays they have for every flight.",Economy,1
1231,united-airlines,R Kant,2015-07-02,"Service, seats, leg room and entertainment was excellent. I read all reviews prior to travel and my family and I were nervous. I will go as far to say it had more leg room than Singapore Airlines. Flight UA804 met and exceeded expectations. Now onto New York from Tokyo.",Economy,10
1232,shenzhen-airlines,Jeff Osborne,2015-06-25,"Flew Shenzhen to Beijing Capital on Boeing 737-900. Whilst I guess its quite a new plane, the interior was quite grubby with surface stains and scratches to panels and seat areas. The flight was delayed due to traffic but that's normal in China. Lounge at Shenzhen Airport in need of further change if they want to meet international standards, as its geared to Chinese only. Staff onboard were quite efficient, but language skills very poor and didn't understand anything that appears to not be on their script - a bit scary! Food is also geared of course to Chinese passengers, and wasn't good even by Chinese standards. There's not a lot of options for this route, but will go back to using Hainan Airlines whenever I can for domestic as they are miles ahead of all the other airlines here.",First,4
1233,kuwait-airways,J Mohammed,2015-07-10,"Gulf Air Heathrow lounge very nice and professional service. The service was excellent on the flight, cabin crew very friendly and professional. The choice of meals was very good as were the meals themselves. They offer no alcohol on this flight but for me that's not a deal breaker. Great choice of other beverages. Downsides were that the inflight entertainment wasn't operational (I had my iPad, so again didn't affect me) and the aircraft was outdated. Apart from that I will be flying them again, as they beat the likes of British Airways, Virgin and the US airlines on price. ",Business,8
1234,spirit-airlines,Terrie Williams,2015-07-12,"We have flown Spirit airlines 4 times now - round trip to Cabo and round trip to Ft Lauderdale. After reading all of the negative reviews, I must say I was skeptical, however, they've been great. Yes, you have to read the fine print, you have to pay for your bags in advance, you have to pay for drinks or snacks on board but all in all - I've been pretty satisfied so far. They are friendly and funny. We actually arrived 15 minutes early on our flight today. The stewardess said we should tell someone because if we were late ""we'd tell everyone"". Pretty true in this day and age.",Economy,10
1235,aeroflot-russian-airlines,Vsevolod Andreev,2015-06-17,"The service was great. There was enough food and it was tasty (2 full meals and snacks and drinks whenever you want). Takeoff and landing were great. Cabin crew was pleasant in general. There were some bad aspects of the flight, such as very slow entertainment system, big delay for more than 3 hours. In general the flight was good except the delay in Vladivostok airport.",Economy,9
1236,united-airlines,Garry Warren,2015-07-24,"It's unfortunate nowadays that people only ever seem motivated to write if they have a 'bad experience'. I have flown with UA pretty regularly from Australia to East coast USA and have had no real issues. The 787 is a great plane, the crew on these flights are experienced and efficient and the food is generally on a par with competitive airlines. As a business traveller though punctuality is extremely important and this is where UA has excelled. In my past five trips I have been delayed only once and this delay was handled very professionally. I have no issues with UA. ",Business,8
1237,qantas-airways,Rob Goldsworthy,2015-07-11,"I had a faultless fight going over to LA very impressed with the 747. Going home arrive at LAX to check in to be told my wife is seated on the other side of the plane (we booked and paid for flight two months ago and seats) they found 2 seats together, got to gate I was refused 3 times to board the plane, the seat wasn't working wouldn't lay flat yet someone was in the seat the whole flight. Cabin service was the worst I have had. For $8500 a ticket it did not reflect at all what they say on there web site. It's been six years since I have flown with Qantas after another issue coming back from LA.",Business,3
1238,austrian-airlines,J Hickman,2015-07-01,"First time flying this airline. On time departure and arrival. Nice, friendly, timely FA Ok entertainment system. Comfortable seat for economy, would fly again",Economy,8
1239,british-airways,I Rodriguez,2015-07-02,"My experience chimes with the general consensus on the Club World service LHR-JFK. Cabin, seats and fittings are showing their age and look rather shabby by this point. Not too clean, red wine spills on my foot rest when I boarded. Tiny screen and IFE looked dated, not great entertainment selection. The food quality was good but service from cabin crew was rather indifferent with little attempt to make it a special dining experience. Nuts and chocolates served in packets, not bowls. Not attentive over providing drinks refills or water. I wasnt offered all of the items listed on the menu - where did my fruit and cheese platter go? Had to ask for coffee/tea refills after the meal. Brewed coffee only - no fresh lattes/cappuccinos. Was not offered disgestifs after the meal. Cabin crew disappeared after the meal. Self service snacks in the galley were economy quality (apart from some nice rose champagne). Just not a luxury or experience! Felt like I was in economy but with more space and food.",Business,6
1240,royal-brunei-airlines,K Riaz,2015-07-01,"What can I say. Third trip to Dubai and have used Royal Brunei on all three occasions and have never been disappointed. Efficient, polite staff throughout, seats very comfortable and ample legroom. Flight crew were very polite and attentive, food was superb and drinks selection is great too Would not hesitate to use them again to Dubai or even longer. The first time we booked with Brunei was a bit apprehensive as were only £30 cheaper per ticket than Emirates but since then would always choose RB over Emirates for Dubai",Economy,10
1241,luxair,M C Mir,2015-07-19,"As a frequent flyer I must recommend flying with Luxair. The planes are a little small and the price is not equal to a budget airline, but then neither is the service offered. Each time I have flown with the airline has been a calm and enjoyable experience. Staff are friendly and helpful. The food provided on the plane is tasty. On any occasion I have made a seat request upon check in it has always been made possible with absolutely no fuss. The security at the airport may not be very chatty but are efficient and it is to this day the fastest security I have been through in any airport.",Economy,10
1242,us-airways,Melanie James,2015-07-11,"This was the most horrible experience. We were trying to leave BWI, when we got a phone call saying we were an hour delayed. Okay, it happens. Someone from the airline was checking the people with connecting flights to make sure they could still make it, he said we ""should"" make it. Well, we had a gut feeling ""should"" wasn't enough so we went to another counter. They said we would have to change our flight because we would only have 4 minutes to make it to a gate on the other side of the airport before the flight departed. We wouldn't have eaten calmly and taken our time to do things if we were told that to begin with! So they tell me we will have to stay an extra 5 hours sitting at the airport to our connecting flight or that we would have to pay for a hotel and stay the night in Charlotte, they wouldn't pay, but regardless I had to be in Charleston that night. So I asked to be refunded because it was not sounding like great options. There was a sweet lady that helped us and told us to let the flight attendant know we had to make our earlier flight as soon as we landed. However when we got onto the plane about 2 hours later, they delayed us another 30 minutes because of traffic. We wanted to leave, I would make it driving down south faster than flying (and a lot cheaper), but a nice lady on the plane saw how upset we were and helped calm us down. She then explained that we wouldn't be able to make it to our earlier flight, but that we could ask the help desk to get us seats on the 10:30 flight, or have the airline pay for our hotel to leave the next morning because the delay was due to ""maintenance"" issues. We had no choice so she met us as we landed and tried to help us find an airport nearby our original location for a friend to pick us up at. Her shift was over and was beyond sweet for helping us for so long. She actually found us a flight leaving 15 minutes after we landed but they wouldn't have been able to deliver our luggage. So we took the seats on the 10:30 flight and of course without sitting together (I get anxious so I always need someone, so my fiancé and I were upset). We sat there and of course, they say they have to change a tire that would take a bother 30 minutes. That whole trip ended up totaling 11 hours after delays, maintenance, and layover.  The worst $700 spent for a mediocre travel that could have been avoided if they had their act together.",Economy,1
1243,flybe,Derek Dickson,2015-07-07,"Delayed on the way to Cardiff, and delayed on the way back. Not impressed",Economy,2
1244,icelandair,A Ahmed,2015-06-21,"LGW-KEF-PDX, PDX-KEF, KEF-LHR. I flew to Portland to visit friends with a 4 day stopover on the way back in Iceland which is included at no extra cost. I think I agree with the review by M Brown on the 20th March, people are being are rather unfair particularly with regards to the catering situation on Icelandair - they are very clear on what the product being offered here is and there is opportunity once booked to add food from the regular menu at a discount before flying and this is served to you before the main food service begins. I only pre-ordered food outbound on the long-haul KEF-PDX sector and found what was served to be delicious and good value. All non-alcoholic drinks are complimentary and can be requested at any time during the flight. All sectors were on B757, which whilst relatively old were immaculately maintained. Outbound from Gatwick the plane was a bit older and had no IFE, but this was ok for the short flight to Reykjavík and I was notified 24hrs prior to departure of this via text. On the long-haul sector from Keflavík to Portland the aircraft was more the Icelandair standard product and we were presented with bottle of Icelandic water which was a nice touch. There was IFE on this sector but it was very old, with poor quality picture and didn't have a fantastic selection - but I had brought my own entertainment with me anyway. The staff however on this flight were fantastic and really worked hard to be friendly and attentive to passengers needs so much so I will be writing to Icelandair to tell them so! Flying back to Reykjavík was pleasant with blankets and cushions provided for this overnight sector and IFE was newer and the the best of all the sectors with a clear picture. My return to London a few days later was also fine with everything on schedule and generally pleasant. One thing that didn't work on any sector was mobile boarding passes - this didn't work on a single sector for me, but I easily received a paper version in most cases. Apart from little niggles which made the experience less than perfect overall I was satisfied with my experience, it was fantastic value for money with the added plus of the stopover and would be very happy to use them again.",Economy,8
1245,allegiant-air,Donald Morris,2015-07-07,"Allegiant Air has become known as the delay airline. Two (2) hour delay leaving St. Petersburg, 45 minute delay leaving Knoxville on my return flight. I have used this airline countless times over the years, and have even recommended it to friends. This was by far my worst experience flying. First they nickel and dime you for everything, including $5.00 to print a boarding pass, if you don’t spend the money to down load their app. The lady at the ticket counter in St. Petersburg was really just rude, the seats are cramped and not really that comfortable. ",Economy,1
1246,jet2-com,Bradley Baker,2015-07-27,"Paphos to Glasgow - jet2 was the only carrier with seats left so we choose this flight. I see why it had empty seats. The flight left at about midnight which was not a great start, check in was ok, then we waited at the gate to hear our flight is delayed. Boarded about half an hour later and the aircraft was still sitting there for another hour before we actually left. No entertainment for a 5 hour flight and very cold - no blanket or anything. The seats had no padding, small legroom and uncomfortable. The highlights of the flight was being able to buy hot chocolate that was made with water not milk. Horrible flight. The flight was meant to arrive at about 2am and because of our delays we arrive at nearly 4 am.",Economy,4
1247,lufthansa,Michael Bucka,2015-07-27,"LH145 - 06/07/2015, A319. Easy boarding Process in Nuremberg, friendly staff on board. After arriving in Frankfurt, due to short connection, direct transfer with a limousine was already organized. LH440 - 06/07/2015, A380. Unfortunately when arriving at the gate to Houston, plane was delayed due to technical issues. Ground staff were confused, delayed the boarding twice. Boarding started about 45 min later than normal. Due to the amount of seats in business class, there were already 2 lines of about 40 people each for the boarding process. When boarding started the ground staff did that manually in only one line, without activating the two self service scanners. After 20 min I went to the purser and asked if she can assist me with boarding (First/Sen). She told me the boarding process had already started (sure, I was waiting there) and I can board after queuing in the line. After I asked why the scanners were not activated, she looked confused around and asked some colleagues, who then activated the scanners, which gave me the possibility to board. Unfortunately already a lot of people from Economy had boarded, which caused a delay on the stairs to the two bridges (First/Business and Economy). Overall my worst boarding process flying First with LH. Welcome on board was great, service and food thru the entire flight the same. Great people and a big thank you to the team of LH. The pilot could not catch up, so when we landed in Houston and the door opened, I had 10 minutes connection time to the boarding to TPA on C34. Fortunately it worked out with Global entry and a 15 min delay of my flight to Tampa.",First,7
1248,klm-royal-dutch-airlines,M A Kendall,2015-07-04,"Absolute chaos at check-in. Many passengers connecting to China and all with a full trolley of baggage (and more) to check in. Not all desks were staffed and the agent controlling access seemed to have lost heart and surrendered. It was a hot day and the aircraft was stuffed full of people so boarding was highly stressful. It was not great for anybody when stressed kids made their presence known. The cabin crew were of little assistance, seemingly just wanting to get home. I too wanted to be off this very badly managed flight. In contrast, my onward flight to Aberdeen was tranquil. I guess it's all down to KLM management of pressure.",Economy,4
1249,spirit-airlines,Nekema Sinquefield,2015-07-24,"Upon boarding, we were told it would be a 15 minute delay. Then after 15 minutes another 20 minute delay. Then after that it would be a 3 hour delay because of mechanical problems. The customer service rep did not know if we could get a refund, or hotel. After 4 hours (around 6pm) they told us the flight was canceled. We heard 6 different stories. Finally told to go back to the main check in and rebook. Well by the time we got to main check in all of the flights for that day and the next day were booked. It took almost 6 hours of being in line before we were served. This was Sunday. So it was a chance we couldnt get another flight with Spirit until Tuesday or Wednesday. At 1am I was booked on a 6.15 am flight with another airline. Also, I had to pay $55.00 for a carry on with Spirit? That was my first and last time to book with this airline. From what I was told, the plane seats are small and you pay for your water, juice and soda. I know mechanical issues happen but with not enough planes to accomodate for the stranded, its not good.",Economy,1
1250,vueling-airlines,Widya Gunawan,2015-07-20,"Scheduled departure supposed to be 2.30pm - however they keep delaying the flight without giving the exact time to fly. There's no solutions for the passenger on what supposed we do. No clear explanation from the airlines of what's going on. Only one lady try to answer passenger question one by one, which very uneffective and unprofessional for airlines.  We are tourist in Europe and thought using airplane will be faster way compare to train. Unfortunately, it was the other way around. It's very dissapointing experience using Vueling. We also try to change using other airlines however our luggage has been checked into the Vueling and we unable to take it back. ",Economy,1
1251,british-airways,James Williamson,2015-06-12,"10/6/15, LHR-GLA, A321, Seat 9A.  Was able to choose this seat in advance which has plenty of legroom as no seat in front.  Flight was pretty full.  Cabin crew were all extremely friendly and helpful welcoming every passenger individually.  Flight was delayed by difficulty in storing the silly amount of carry on baggage people brought on board.  Some stuff was obviously way bigger than the allowed size.  It took ages to get it all sorted which was ridiculous, however the crew kept smiling though it all.  Again new configuration seating which I found pretty comfortable.  Drink and snack was served as usual.  Landed nearly 30 mins late to discover my baggage had not made it from GRR which was quite annoying.  Overall good flight though.",Economy,9
1252,virgin-atlantic-airways,Mark Roberts,2015-07-25,"Clean but aged plane, fine if you want to remember what it was like to fly in 1995. Very creaky and uncomfortable seat that gave me back ache. Was booked through Air NZ so no online check in meant my family were split up. Not sure why Air NZ are partnering with an airline that has such old planes and poor entertainment systems when their own service is so much better. Food quality low but crew friendly.",Economy,3
1253,air-france,Stacie Humphrey,2015-07-12,"I booked my tickets for myself and my husband in August 2014 for a trip in June 2015. We always get to the AF check-in counter at Dulles International and discover that despite having booked our seats together, despite having the same last name, despite paying for the tickets with the same credit card, and despite paying full price we are not seated together. And I had called 3 times to confirm that had reserved seats together. Our record was separated and we were seated apart. By good fortune, the woman who had the seat that I was supposed to have was right behind me at the airport. She had booked her ticket 5 months after I did, through a travel agent. Further conversation revealed that she had AF Flying Blue status, although she's a US citizen. It appears from our chat, that AF allows its own customers to reserve seats in business class up to a few hours before departure and thus bump passengers like me and my husband, paying passengers, at will. This leaves the check-in staff at Dulles to flounder for explantions as to why we are separated. In addition, when the check-in staff reassigns us, the computer system is never updated timely enough for the gate agent to recognise the new seats. Confusion at the gate. Embarrassment.",Business,1
1254,vueling-airlines,Laura Jenkins,2015-07-13,Flight delayed 4 hours. No Vueling representative present at airport to explain why. Was also put on 'Standby' as they overbook each flight by 10% and as we were last to check in they moved us to a later flight as our original flight was full.,Economy,1
1255,air-india,Mike Halpenny,2015-07-27,Air India Dreamliner from Delhi to Melbourne pulled away from the gate on time but during taxi returned back to a different gate due to a technical issue. Took 1.5 hours to fix during which time lunch and drinks service was offered. Once fault repaired flight underway almost 2 hours late. Little time made up of passage to Melbourne so arrived about 1.5 hours late which did squeeze connections from Melbourne. Air India had rebooked passengers who missed their connections and this was communicated on arrival as to new flight details Flight was comfortable with 2 meals plus snack and drinks offered. Crew again work hard keeping passengers comfortable and well hydrated. This was 4th Air India flight in space of a month and have to say was impressed in the offering. Would definitely fly them again if offered.,Economy,8
1256,united-airlines,Scott Plante,2015-07-17,"Excellent service in PS. Seats were comfortable. Entertainment system was the best I have seen, and wish it were available on all United flights. Ground crew at JFK and LAX were courteous, professional.",First,10
1257,air-new-zealand,Richard Parker,2015-07-03,"I do five return trips from NZ to N America and usually one to Europe. I usually seek out the older aircraft with the more comfortable 3-3-3 seating on which I usually sleep at least six hours in an aisle seat. This time however was different. On the new 10 abreast B777 with the narrow seats, armrests and aisles. My usual aisle seat was most uncomfortable. It seems that the corporate policy is to strip the dignity of the majority of the passengers in order to promote higher profits up front. I am now considering having window seats but wearing nappies which would be more dignified - I look forward to more competition on these routes.",Economy,4
1258,qatar-airways,Nur Afiqah Rahmat,2015-06-14,"We had a 1 hour 30 minute transit and prior to this flight I was worried about missing the connecting flight or that our luggage would be left behind because of the short transit, but everything went well. Our flight Zagreb left on time, arrived Doha early and we left to Dubai just on time too! On our flight to Dubai the boarding was quick and easy. Flight was comfortable and food on board was yummy. The only downside to this was that, for our flight from Doha to Dubai, we weren't given any headsets for the inflight entertainment. I assume this could be due to the short flight duration. ",Economy,8
1259,qatar-airways,E Simmons,2015-07-01,"I have to say that Qatar airways lounge at LHR is out of this world, the food is 5 star. The food and drinks on the flights were excellent, the crew could not do enough for me. I only had a very brief visit to their lounge in Doha, but what I saw was very good, my only gripe was that they used buses to and from the planes on both flights in Doha. Qatar Airways London assured that airbridges would be used, especially as they now had a brand new airport, so it looks as if they haven't been informed about them still using buses or they don't want to tell you. As I am 82 years old I find it difficult walking up and down those stairs carrying two cases. Hopefully on my return flight in September, they will use airbridges , I'll have to wait and see. Except for that minor thing, I would have given them 10/10, but I can only give them a 8/10",Business,8
1260,ukraine-international-airlines,S Scott,2015-06-17,"I frequently and gladly fly ""budget"" airlines both domestically and internationally - I know what I can expect and what not to so by no means was I under the illusion that I was going to get a luxury experience. I flew from Athens (5.30am) to Kiev (laid over 2 hours) then on to JFK (arriving 2pm same day) for a total of 13 hours of time in the air. Flight Athens to Kiev was fine, flight attendants were nice and courteous. I slept most of the time and they did a brief juice/coffee service just before landing. Once in Kiev, be prepared for perhaps the rudest airport experience. Airport staff (from food service to duty-free to security staff) were miserable. Kiev airport has limited food options, so be prepared to settle on a mediocre sandwich. Flight from Kiev to JFK was hands down the worst flight I have been on. The seats are horrible. I am 5'10 and my knees rubbed the seat in front of me, the seats are narrow and are as big as you would expect from a tiny regional aircraft or island-hopper, not what you would expect for a long-haul flight. The seats themselves are extremely uncomfortable and are terrible in causing lower back pain, and recline only an inch or two. The cabin crew took the cold, aloof, and rudeness of the Kiev airport staff to an entirely new level and were openly hostile towards passengers. The food was laughably bad, but the worst part is that they offered maybe 500ml of beverage for the entire 10 hour flight. They did 3 separate drink services and each time you get about 150ml of beverage in a tiny solo cup, the size many people keep in their bathrooms. I've never been happier to land and be done with a flight, and would not wish flying UIA for long-haul flights on my worse enemy. I would describe the in-flight experience as a 1/10 and the only reason I am giving 5 stars is because the entire flight from Athens to JFK cost me $330 which is insanely cheap and was approximately half the price of the next cheapest flight from another airline. So if you're trying to backpack/budget fly and need a really inexpensive flight into/out of Europe or Asia, take UIA but seriously prepare yourself for a horrible flight and I'd recommend bringing a liter of your own water.",Economy,5
1261,westjet,Ivan Dzhur,2015-07-31,"Once again very pleasant experience flying with Westjet. Ground staff and flight staff kind and helpful. Flight from Winnipeg to Toronto was delayed for an hour and passengers were informed of the delay at all times. Clean aircraft, generous legroom and comfortable seats. ",Economy,10
1262,american-airlines,J Rose,2015-06-15,"First overseas trip in the newly configured B767 with flat beds. The cabin looks very crisp, clean, and modern but I found the seats to be uncomfortable and poorly designed. The seats seem very narrow, and once in the flat bed position your feet end up in a narrow, confining box-like area which makes it difficult to move around. Impacted sleep quality immensely. Tablet-based IFE strange, clunky with limited choices. The biggest positive surprise was the food, which was as good an airline meal as I've had. Perfectly roasted duck breast in a coconut lime curry was restaurant quality, salads fresh and crisp. On balance better than expected and an improvement for AA.",Business,7
1263,air-france,S Bell,2015-07-22,"Flight was cancelled so never even boarded. Great customer service from AF at Orly so we took the train instead and afterwards made our claim for refund. Not only did they refund the ticket and reimburse us for the train tickets and hotel, but they gave us £250 flight vouchers as a gesture of goodwill. All of this in less than a week. Great airline on the other flights we did use them (SXB-LYS on a CRJ1000 and LYS-TLS on an A320). I would recommend them!",Economy,10
1264,wizz-air,P Lako,2015-07-24,"Unlike most others, I enjoy this airline, it's cheap and fast.  An inflight wifi system would be great and some inflight information (location and time) would be appreciated. Also their payment system might be weird with all of the add-ons, but you can fly cheaply with this airline (if you skip all the extra stuff).",Economy,8
1265,jetstar-airways,Dave George,2015-07-13,"Business Class with a budget carrier, but you would hardly have noticed with the excellent customer service. Champagne before take-off with a follow up choice of drinks. The meal range was quite good and the food was barely recognisable as airline food. The seats were certainly comfortable enough. The only downsides I could think of was a lack of available movies to watch and there was no priority boarding. Other than these small issues, the flight was a credit to the airline. ",Business,10
1266,hawaiian-airlines,D Stephenson,2015-06-11,"Our flight from Brisbane to Honolulu (overnight) was good even though an awful time to fly. My only complaint was the cabin was freezing. On the return flight this is where the problems started. The airport is mayhem and needs more signage. People wondering aimlessly. Once on board and seated. I had packed for warmth on this flight. It was a day flight leaving at 1.40pm local time. Once on board we were informed that there was no headsets, they had not been loaded onto the plane. so for the next 9 hours plus no movies, how many games can you play of Solitaire. Also on the first meal service we where informed there was no scotch as they had run out. First meal service. That is not good enough. The staff were polite, the meals OK but for an international carrier to have no headsets for a 9 hour flight is ridiculous, and concerning. Hawaiian Airlines need to pick up their game, as in pre-checks and cross checks and strict compliance procedures that must be adhered too for safety and well being of your passengers.",Economy,5
1267,swiss-international-air-lines,James Qurashi,2015-06-13,"Trip from GVA-ZRH-GRU and return, the Swiss staff, professional and experienced as most airlines could hope for. The A343 seems in good shape when you enter the cabin, really nice the light coloured wood with dark brown seats, very smart. I measure 176 cm so the seats in full flat position were quite good, no worries there, the food was enough and good. The only down side was the inflight entertainment system. They have an ok selection in films but the screen size and resolution is not up to business class standards, some airlines have a better system even in Economy. I do hope that they improve with the new B777 entering next year. The 12 inch is not nearly good enough and the resolution is passable. Films with dark background or with shots from night are not very visible - Swiss will need to improve in this field, especially on long flights. ",Business,8
1268,qantas-airways,J Wells,2015-07-09,"QF 23, 28 June. Flight was slightly delayed as departure was from a stand away from the terminal. The transfer didn't take too long and was reasonably efficient. The A330 was pretty comfortable even in economy. The service provided by the cabin crew was excellent. Drinks and food plentiful and a welcome drink and a bottle of water was welcome! The aircraft hadn't been updated and the inflight entertainment was showing its age in terms of screen size, choices and navigation.",Economy,9
1269,british-airways,John Durkin,2015-08-01,"The staff were great, food was pretty good, their seating policy is a sham. For that reason I'd never fly with BA again. I have issues with arthritis and they changed my Aisle seat to a window seat at the last moment and I had to endure no room to move for most of our flight from London to Sydney.",Economy,3
1270,iberia,Dario D'Angelo,2015-06-16,"Problems started with the reservation process. Their website, at least in Latin America, has terrible bugs. 4 days after having made the reservation online the electronic ticket still wasn't issued. Had to go personally to the local Iberia office. No way to add additional luggage through the web or at their office. Only by phone and upon confirmation 48 hours after, or at the airport paying 25% plus. No seat selection until reaching the airport (neither by paying through website). The plane is old fashioned, no individual screens. Food very very basic and cabin crew clearly annoyed to serve passengers. Plane on-time. Connection in Madrid was 5 hours long so no problem to reach on time the Schengen terminal. Overall very bad experience.",Economy,2
1271,norwegian,P Fillery,2015-07-19,"Read mixed reviews about this airline before we travelled but for us it worked. We travelled Premier Class. Seats very comfortable, lots of leg room and attentive staff. Food was fine. Drinks at meals only but otherwise water was readily available throughout the flight. Blankets are really good! Check in at Gatwick for Premier Class could be improved - we were left to fend for ourselves which was not what we were told when booking the tickets as there should be a designated check in point which was not there. The only other thing which could be improved are the selection of films on offer. They could be upgraded and brought up-to-date - we'd seen most of the films which were quite 'old'. Apart from that, we would fly with them again.",First,9
1272,oman-air,Nitya Nand,2015-06-16,"Traveled from Paris CDG to New Delhi and New Delhi to Paris CDG via Muscat. Airline is good in terms of seat comfort, cabin staff service, food, inflight entertainment but Oman Air is not reliable in terms of timing. Flight from Muscat to New Delhi was delayed by 6 hours, even when I kept a margin of 4 hours I missed my connecting flight from New Delhi and again flight from New Delhi to Muscat was delayed by 3 hours on top of its flight from Muscat to Paris CDG was delayed by 1 hour and again I missed my train from Paris. It was my first and last trip with Oman Air",Economy,1
1273,indigo-airlines,Rajan Bulchand,2015-07-24,"Speedy check in. Boarding as typical in Pune airport. Not very organised, but still went well. Plane was very clean. Crisp and new feeling. Crew was smiling. My first experience on this airline, and will stick to it when travelling inside India. It is a low Cost but for Low Costs it ticks all the Boxes.",Economy,9
1274,small-planet-airlines-uab,E Parkin,2015-06-24,"Even in advance of the departure date the flight was rescheduled later in the day. On the day, departure was late, then we returned to allow the police to escort two drunken passengers off the plane. Why did the ground staff allow them to board? Needless to say, this made us even later. Cabin crew were smiley and friendly but spectacularly inefficient. If they can't pass out drinks competently, how could they evacuate an aircraft in emergency? In short, Small Planet is an unprofessional airline. ",Economy,2
1275,vietnam-airlines,Dave Harris,2015-06-29,"Flew economy class return Melbourne to Ho Chi Minh City on the A330, and a couple of internal flights with Vietnam Airlines. Flights were on time, staff are fine - they just go about their job. Good food and entertainment on the international flight. Comfy seats on all flights. The best thing about them were the price of my tickets. I booked 5/6 months in advance and got great prices for a full service plane. ",Economy,9
1276,united-airlines,Brian Connery,2015-07-01,"Flew out of HNL to SFO on a tired Boeing 777-200 with no seatback videos. The boarding is similar to Southwest as you line up in group numbers. The problem is that we paid for an economy plus seat and still had to wait at the end to board. The flight crew was average but what upset me was that a poor woman with limited English asked the flight attendant for some water so she could take medication before take off. She was pointing at what she needed in the galley and the flight attendant screamed at her and threatened her with disembarkation. For a five hour Pacific crossing all we got was one drink service and food purchase which is unacceptable. After a four hour stopover we boarded again with the same procedure. Once we got on our way the flight attendants provided their usual sub standard service. However, as this was a single aisle aircraft some passengers needed to go the bathroom and with drink service going on the access to the bathroom was restricted. The flight attendants in first class made sure that the economy passengers stayed in their section.  All I can say is that flying domestically is more or less not worth it. Luckily, majority of my trip including two flights on Air New Zealand who treated their passengers with respect and were not afraid to offer complimentary food and drinks. It is sad that Continental Airlines got eaten up by United. As long as I can remember the service on United has been average and the nickname untidy is well earned.",Economy,1
1277,turkish-airlines,Leigh Ish,2015-07-03,"Aircraft and inflight crew is good but ground crew treated us poorly. We were traveling with three kids and booked flights online with difficulty as their system was rigid and insisted on us buying infant tickets when we wanted a dedicated seat for one of our twins. We got to the airport and everyone said the plane was completely full. This includes front and at the gate. We were forced to check in one of our infant seats but promised we would get it back during our layover in Istanbul. It did not show up in Istanbul and everyone gave us a run around for two hours. We finally gave up and at our destination, no big surprise, our infant seat was missing. ",Economy,1
